sampleid	samplecode	forward-absolute-filepath	reverse-absolute-filepath	Matrix	Spiked_CFU	Condition	Replicate	qPCR	Spike_code1	Spike_code2	Both_cond_seq	Region	seqdate
1B-BPW-CS	2023-16S-0037	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0037_S37_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0037_S37_L001_R2_001.fastq.gz	Caeca	6	Enriched	B	neg	1	1B	FALSE	V3V4	20230502
1C-BPW-CS	2023-16S-0038	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0038_S38_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0038_S38_L001_R2_001.fastq.gz	Caeca	6	Enriched	C	neg	1	1C	FALSE	V3V4	20230502
2A-BPW-CS	2023-16S-0039	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0039_S39_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0039_S39_L001_R2_001.fastq.gz	Caeca	59	Enriched	A	pos	2	2A	FALSE	V3V4	20230502
2B-BPW-CS	2023-16S-0040	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0040_S40_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0040_S40_L001_R2_001.fastq.gz	Caeca	59	Enriched	B	neg	2	2B	FALSE	V3V4	20230502
2C-BPW-CS	2023-16S-0049	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0049_S49_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0049_S49_L001_R2_001.fastq.gz	Caeca	59	Enriched	C	neg	2	2C	FALSE	V3V4	20230502
3A-BPW-CS	2023-16S-0050	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0050_S50_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0050_S50_L001_R2_001.fastq.gz	Caeca	592	Enriched	A	pos	3	3A	TRUE	V3V4	20230502
3B-BPW-CS	2023-16S-0051	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0051_S51_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0051_S51_L001_R2_001.fastq.gz	Caeca	592	Enriched	B	neg	3	3B	TRUE	V3V4	20230502
3C-BPW-CS	2023-16S-0052	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0052_S52_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0052_S52_L001_R2_001.fastq.gz	Caeca	592	Enriched	C	pos	3	3C	TRUE	V3V4	20230502
4A-BPW-CS	2023-16S-0053	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0053_S53_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0053_S53_L001_R2_001.fastq.gz	Caeca	5920	Enriched	A	pos	4	4A	TRUE	V3V4	20230502
4B-BPW-CS	2023-16S-0054	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0054_S54_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0054_S54_L001_R2_001.fastq.gz	Caeca	5920	Enriched	B	pos	4	4B	TRUE	V3V4	20230502
4C-BPW-CS	2023-16S-0055	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0055_S55_L001_R1_001.fastq.gz	/home/laurenbradford/Salmspike_16S/V3-V4/2023-16S-0055_S55_L001_R2_001.fastq.gz	Caeca	5920	Enriched	C	pos	4	4C	TRUE	V3V4	20230502
